[Header]
; VSM Data File (default extension .dat)
; Copyright (c) 2003-2013, Quantum Design, Inc. All rights reserved.
TITLE,magnetization_vsm_multifield.dat
FILEOPENTIME,0.00,09/01/2026,12:00 am
BYAPP,VSM,1.0,1.0
INFO,DYNACOOL VSM Option Release 1.4.10 Build 1,APPNAME
INFO,Quantum Design Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 M1,MOTOR_HW_VERSION
INFO,anonymized,MOTOR_SERIAL_NUMBER
INFO,SRV No X-over 01.03.11,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design VSM Detection Module,VSM_MODULE_NAME
INFO,3101-150 F0,VSM_HW_VERSION
INFO,anonymized,VSM_SERIAL_NUMBER
INFO,VSM No X-over 01.02.05 May 20 2008 13:51:47,VSM_SOFTWARE_VERSION
INFO,anonymized,PREAMP_SERIAL_NUMBER
INFO,Quantum Design VSM Oven,OVEN_MODULE_NAME
INFO,3101-201 A1,OVEN_HW_VERSION
INFO,anonymized,OVEN_SERIAL_NUMBER
INFO,01.06.24,OVEN_SOFTWARE_VERSION
INFO,anonymized,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,anonymized,SAMPLE_MATERIAL
INFO,anonymized,SAMPLE_COMMENT
INFO,anonymized,SAMPLE_MASS
INFO,anonymized,SAMPLE_VOLUME
INFO,anonymized,SAMPLE_MOLECULAR_WEIGHT
INFO,anonymized,SAMPLE_SIZE
INFO,anonymized,SAMPLE_SHAPE
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
INFO,300.0,MOLWGHT:Formula Weight (g/mole)
INFO,1.25,MASS:Sample Mass (mg)
INFO,1,ATOMS:Atoms per Formula Unit
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Coil Signal' (mV),Coil Signal" (mV),Range (mV),M. Quad. Signal (emu),M. Raw' (emu),M. Raw" (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),VSM Status (code),Motor Status (code),Measure Status (code),Measure Count,System Temp. (K),Temp. Status (code),Field Status (code),Chamber Status (code),Motor Current (amps),Motor Heatsink Temp. (C),Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,481.6125,9.94719791412354,99.8844680786133,1.15710907898744E-5,1.3890981420476E-7,1,1.99850670813958,40.0298881530762,1.9950470518532,18.2199999690056,0.000131671412143124,1.71788228897247E-5,0.25,-5.66105086389224E-7,1.14231734283865E-5,-5.03338605147968E-7,9.92833423614502,9.92833423614502,99.8563461303711,99.9125900268555,56.0740299696213,20.2820771157813,8.96573257446289,0,0,0,80,9.97577285766602,2,4,1,2.2064208984375,41.5444793701172,,,,,,,,,,,,,,,,
,529.6420,10.7451438903809,99.8563423156738,1.15181991910443E-5,1.26533097358658E-7,1,1.99850670813958,40.0298881530762,1.99506934918203,18.2199999690056,0.000131348498650516,1.55630613319977E-5,0.25,-6.99815374163579E-7,1.13716104845455E-5,-6.35561540123142E-7,10.725323677063,10.725323677063,99.8375930786133,99.8750915527344,55.4682678672174,20.2810247364905,9.33667087554932,0,0,0,80,10.7887630462646,2,4,1,2.20657348632813,41.5444793701172,,,,,,,,,,,,,,,,
,577.5510,11.5410604476929,99.8375968933105,1.16152340221392E-5,1.66856088302441E-7,1,1.99850670813958,40.0298881530762,1.9950312263545,18.2199999690056,0.000132241146932526,1.68653377496803E-5,0.25,-6.01855576092148E-7,1.14669131627038E-5,-5.38412390108006E-7,11.5278234481812,11.5278234481812,99.81884765625,99.8563461303711,55.8293802431021,20.2848766832206,9.68491554260254,0,0,0,80,11.5872993469238,2,4,1,2.21328735351562,41.5444793701172,,,,,,,,,,,,,,,,
,625.5210,12.3400254249573,99.8938446044922,1.14199256479657E-5,1.4986863026247E-7,1,1.99850670813958,40.0298881530762,1.99501200817339,18.2199999690056,0.000130426404539909,1.43103625836037E-5,0.25,-7.93094714916053E-7,1.12750628183774E-5,-7.28097084692484E-7,12.3204183578491,12.3204183578491,99.8938446044922,99.8938446044922,55.2009509136404,20.2815858407262,10.0225086212158,0,0,0,80,12.3834085464478,2,4,1,2.21435546875,42.5219955444336,,,,,,,,,,,,,,,,
,673.4720,13.1367468833923,99.8657188415527,1.15864844910096E-5,1.73689276796233E-7,1,1.99850670813958,40.0298881530762,1.99499313629057,18.2199999690056,0.000132247876798516,1.49598536020512E-5,0.25,-7.65572573574117E-7,1.14393216941904E-5,-7.00135817080122E-7,13.1194105148315,13.1194105148315,99.81884765625,99.9125900268555,56.1514111930252,20.2820945559047,10.339672088623,0,0,0,80,13.1940822601318,2,4,1,2.21588134765625,41.5444793701172,,,,,,,,,,,,,,,,
,721.4355,13.9380679130554,99.8563423156738,1.15500090426194E-5,1.41604174663325E-7,1,1.99850670813958,40.0298881530762,1.99498151077573,18.2199999690056,0.000131858282453028,1.4760563588499E-5,0.25,-7.76648391378601E-7,1.14033740905058E-5,-7.11242086025456E-7,13.9198122024536,13.9198122024536,99.8375930786133,99.8750915527344,55.5362695483905,20.2806083041861,10.637580871582,0,0,0,80,13.9899663925171,2,4,1,2.21328735351562,41.5444793701172,,,,,,,,,,,,,,,,
,769.4055,14.7356939315796,99.8188438415527,1.12364954094308E-5,1.49911821528362E-7,1,1.99850670813958,40.0298881530762,1.99502273055646,18.2199999690056,0.000127572105172907,1.82901045784813E-5,0.25,-4.07156783697364E-7,1.10921726751319E-5,-3.48061341445859E-7,14.7184839248657,14.7184839248657,99.8000946044922,99.8375930786133,55.7551255337751,20.2795449049955,10.9230012893677,0,0,0,80,14.7985506057739,2,4,1,2.21603393554687,42.0332374572754,,,,,,,,,,,,,,,,
,817.3705,15.5224566459656,99.8375930786133,1.13140167386324E-5,1.43044743526578E-7,1,1.99850670813958,40.0298881530762,1.99500281890487,18.2199999690056,0.000128848350267195,1.62153737497423E-5,0.25,-6.05076097549678E-7,1.11696324185434E-5,-5.43033080124978E-7,15.5091323852539,15.5091323852539,99.8375930786133,99.8375930786133,55.1954795140058,20.281009954936,11.2120046615601,0,0,0,80,15.5829963684082,2,4,1,2.21282958984375,40.0782012939453,,,,,,,,,,,,,,,,
,865.3150,16.3598470687866,99.8094711303711,1.11745832863608E-5,1.43198980716228E-7,1,1.99850670813958,40.0298881530762,1.99497730750787,18.2199999690056,0.000127505458138901,1.46496341913357E-5,0.25,-7.18699686245366E-7,1.10325580211145E-5,-6.55845118875484E-7,16.3430042266846,16.3430042266846,99.8000946044922,99.81884765625,55.3267931052366,20.2809631603157,11.4962968826294,0,0,0,80,16.4253578186035,2,4,1,2.20382690429687,41.5444793701172,,,,,,,,,,,,,,,,
,913.2775,17.1144351959229,99.8000984191895,1.13843504413125E-5,1.50672413162326E-7,1,1.99850670813958,40.0298881530762,1.99498841823636,18.2199999690056,0.000129831102584916,1.53043919702501E-5,0.25,-6.98529694368E-7,1.12394979464265E-5,-6.34933425111537E-7,17.1011943817139,17.1011943817139,99.7813491821289,99.81884765625,55.4237150416212,20.2816883841636,0.0984780490398407,0,0,0,80,17.1852893829346,2,4,1,2.21405029296875,43.0107536315918,,,,,,,,,,,,,,,,
